series,segment,x,y,provenance,observed_anchor_count,display_anchor_count,discarded_or_thinned_count,derived_point_count
test-0deg,0,0.00034782608695651737,4.782783093540104,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.0033043478260869515,16.482296435281768,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.010086956521739118,55.668618230512905,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.013391304347826073,74.27507318364424,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.015130434782608684,82.73255270779485,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.0234782608695652,99.64751175609607,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.02565217391304346,105.00391545472476,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.028608695652173895,111.4879830899069,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.03199999999999998,117.12630277267397,formal_curve_data_geometry,10,10,0,0
test-0deg,0,0.047652173913043445,124.45611836027116,formal_curve_data_geometry,10,10,0,0
mfh-0deg,0,0.00034782608695651737,3.8082717538722477,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0005217391304347778,4.613573477926764,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0006956521739130382,5.399948372164772,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0008695652173912986,6.194692052861853,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0010434782608695625,6.984795274860176,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.001217391304347823,7.770642214261528,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0013913043478260834,8.579435039100417,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0015652173913043438,9.398427328858503,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0017391304347826042,10.228547700044999,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0019130434782608646,11.057157063413968,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.002086956521739125,11.884897765310882,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0022608695652173855,12.725693587672481,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.002434782608695646,13.609188981493872,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0026086956521739063,14.575735619101948,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.00278260869565217,15.495466326466698,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0029565217391304306,16.40858148654371,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.003130434782608691,17.288015493840163,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0033043478260869515,18.188512716288642,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.003478260869565212,19.0902526840502,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0036521739130434723,19.981568571782958,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0038260869565217327,20.877255658673818,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.003999999999999993,21.79192401471866,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0041739130434782536,22.71352532433812,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.004347826086956514,23.670475739744177,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.004521739130434778,24.63768388622708,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.004695652173913038,25.630522856868367,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.004869565217391299,26.624282788501176,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.005043478260869559,27.594444573730087,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0052173913043478196,28.556597300070536,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.00539130434782608,29.530932046636096,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.00556521739130434,30.53952395121611,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.005739130434782601,31.586928335852747,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.005913043478260861,32.65652382278297,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.006086956521739122,33.7721058813454,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0062608695652173856,34.896453050352775,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.006434782608695646,36.06707163998088,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.006608695652173906,37.241063671447876,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.006782608695652167,38.44279715442016,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.006956521739130427,39.65650952162632,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.007130434782608688,40.89343048222331,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.007304347826086948,42.151508309776915,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.0074782608695652085,43.42910946408401,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.007652173913043469,44.71139219287312,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.00782608695652173,46.01020427886152,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.007999999999999993,47.29696018638893,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.008173913043478254,48.56976391478379,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.008347826086956514,49.82655985701682,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.008521739130434774,51.091981941047436,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.008695652173913035,52.363655347130845,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.008869565217391295,53.63904564916439,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.009043478260869556,54.897341392419534,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.009217391304347816,56.135190843383256,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.009391304347826077,57.3492422685424,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.009565217391304337,58.5361439343839,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.009739130434782597,59.69254410739464,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.009913043478260858,60.80912826630309,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.010086956521739118,61.88254467759624,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.010260869565217379,62.930088198137824,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.010434782608695639,63.970931455856686,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.010608695652173906,65.00453937383709,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.010782608695652167,66.03037687516341,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.010956521739130427,67.04790888291994,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.011130434782608688,68.05660032019104,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.011304347826086948,69.055916110061,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.011478260869565209,70.04532117561419,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.011652173913043469,71.0242804399349,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.01182608695652173,71.99225882610745,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.01199999999999999,72.94872125721615,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.01217391304347825,73.89313265634539,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.01234782608695651,74.82495794657945,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.012521739130434771,75.74366205100267,formal_derived_curve_data_geometry,290,290,0,0
mfh-0deg,0,0.012695652173913032,76.64870989269934,formal_derived_curve_data_geometry,290,290,0,0
