series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_width,pixel_half_height,support_pixels,marker_shape,evidence_status,segment_break,status,candidate_id,guide_residual_px
uct-test-a22,1.2251585521183619,0.09661202361609378,0.001434130905212605,0.005932176123292776,551,398.0,,2.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000375,2.984231234371464
uct-test-a22,1.2280268139287869,0.09661202361609378,0.001434130905212605,0.005932176123292776,552,398.0,,2.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000376,2.98051696923784
uct-test-a22,1.2308950757392119,0.09661202361609378,0.001434130905212605,0.007118611347951331,553,398.0,,3.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000377,2.976406875938949
uct-test-a22,1.2337633375496369,0.09898489406541089,0.001434130905212605,0.007118611347951331,554,397.0,,3.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000378,3.9719000293422937
uct-test-a22,1.236631599360062,0.09898489406541089,0.001434130905212605,0.007118611347951331,555,397.0,,3.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000379,3.9669955043153777
uct-test-a22,1.239499861170487,0.09898489406541089,0.001434130905212605,0.008305046572609887,556,397.0,,3.5,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000380,3.961692375725761
uct-test-a22,1.242368122980912,0.09661202361609378,0.001434130905212605,0.007118611347951331,557,398.0,,3.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000381,2.955989718440776
uct-test-a22,1.245236384791337,0.09661202361609378,0.001434130905212605,0.008305046572609887,558,398.0,,3.5,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000382,2.9498866073280396
uct-test-a22,1.248104646601762,0.09661202361609378,0.001434130905212605,0.008305046572609887,559,398.0,,3.5,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000383,2.9433821172549983
uct-test-a22,1.250972908412187,0.09661202361609378,0.001434130905212605,0.007118611347951331,560,398.0,,3.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000384,2.936475323089212
uct-test-a22,1.253841170222612,0.09661202361609378,0.001434130905212605,0.0035593056739756657,561,398.0,,1.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000385,2.929165299698127
uct-test-a22,1.256709432033037,0.09661202361609378,0.001434130905212605,0.005932176123292776,562,398.0,,2.5,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000386,2.9214511219491897
uct-test-a22,1.259577693843462,0.09423915316677667,0.001434130905212605,0.005932176123292776,563,399.0,,2.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000387,1.9133318647100168
uct-test-a22,1.262445955653887,0.09186628271745956,0.001434130905212605,0.009491481797268442,564,400.0,,4.0,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000388,0.9048066028481117
uct-test-a22,1.265314217464312,0.08712054181882534,0.001434130905212605,0.011864352246585552,565,402.0,,5.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000389,1.10412558876925
uct-test-a22,1.268182479274737,0.08712054181882534,0.001434130905212605,0.013050787471244107,566,402.0,,5.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000390,1.1134656352742809
uct-test-a22,1.271050741085162,0.08712054181882534,0.001434130905212605,0.014237222695902663,567,402.0,,6.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000391,1.123214461799762
uct-test-a22,1.273919002895587,0.08237480092019123,0.001434130905212605,0.014237222695902663,568,404.0,,6.0,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000392,3.1333729934779626
uct-test-a22,1.276787264706012,0.09423915316677667,0.001434130905212605,0.005932176123292776,569,399.0,,2.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000393,1.8560578445585634
uct-test-a22,1.2796555265164369,0.08949341226814245,0.001434130905212605,0.005932176123292776,570,401.0,,2.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000394,0.1549228728227945
uct-test-a22,1.2825237883268619,0.08949341226814245,0.001434130905212605,0.004745740898634221,571,401.0,,2.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000395,0.1663160707544762
uct-test-a22,1.2853920501372869,0.08949341226814245,0.001434130905212605,0.014237222695902552,572,401.0,,6.0,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000396,0.17812267436897855
uct-test-a22,1.2882603119477118,0.08949341226814245,0.001434130905212605,0.014237222695902552,573,401.0,,6.0,7,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000397,0.19034360879874157
