series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,support_pixels,support_x_min,support_x_max,guide_residual_px,group_assignment_cost,competing_series,line_semantics,evidence_status,segment_break,status,candidate_id
test-0deg,0.0006956521739130382,3.937035141125051,8.695652173913021e-05,0.14095799206918969,131,532.5,0.5,2,131,131,2.123942069182249,10.123942069182249,test-0deg|mfh-0deg,solid,model_assisted_exclusive_assignment,True,visible_candidate,line-test-0deg-000001
test-0deg,0.0013913043478260834,8.870564863546235,8.695652173913021e-05,0.28191598413835095,135,515.0,1.0,3,135,135,2.671597835533248,10.671597835533248,test-0deg|mfh-0deg,solid,model_assisted_exclusive_assignment,True,visible_candidate,line-test-0deg-000002
test-0deg,0.0015652173913043438,9.575354823892098,8.695652173913021e-05,1.2686219286225935,136,512.5,4.5,10,136,136,1.9922312131503759,10.867231213150376,test-0deg|mfh-0deg,solid,model_assisted_exclusive_assignment,False,visible_candidate,line-test-0deg-000003
test-0deg,0.0017391304347826042,10.28014478423799,8.695652173913021e-05,1.973411888968485,137,510.0,7.0,15,137,137,1.3037601147941018,10.178760114794102,test-0deg|mfh-0deg,solid,model_assisted_exclusive_assignment,False,visible_candidate,line-test-0deg-000004
test-0deg,0.0019130434782608646,10.843976752514692,8.695652173913021e-05,1.973411888968485,138,508.0,7.0,15,138,138,0.10228262219044382,8.802282622190443,test-0deg|mfh-0deg,solid,model_assisted_exclusive_assignment,False,visible_candidate,line-test-0deg-000005
test-0deg,0.002086956521739125,11.125892736653043,8.695652173913021e-05,1.973411888968485,139,507.0,7.0,15,139,139,2.1161031829349213,10.466103182934921,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000006
test-0deg,0.0022608695652173855,11.548766712860584,8.695652173913021e-05,1.8324538968992954,140,505.5,6.5,14,140,140,3.85529921885626,12.38029921885626,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000007
test-0deg,0.002434782608695646,11.971640689068124,8.695652173913021e-05,1.6914959048301341,141,504.0,6.0,13,141,141,5.619207403847724,14.144207403847725,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000008
test-0deg,0.0026086956521739063,12.676430649413987,8.695652173913021e-05,0.9867059444842425,142,501.5,3.5,8,142,142,6.4117296561835815,15.286729656183581,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000009
test-0deg,0.00278260869565217,14.367926554244121,8.695652173913368e-05,0.14095799206918969,143,495.5,0.5,2,143,143,3.7367678941380973,13.836767894138097,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000010
test-0deg,0.0029565217391304306,15.918464467005066,8.695652173913021e-05,0.8457479524150529,144,490.0,3.0,7,144,144,1.5982240359854814,11.523224035985482,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000011
test-0deg,0.003130434782608691,16.90517041148931,8.695652173913021e-05,1.5505379127609444,145,486.5,5.5,12,145,145,1.5,10.725,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000012
test-0deg,0.0033043478260869515,17.75091836390436,8.695652173913021e-05,1.5505379127609444,146,483.5,5.5,12,146,146,1.9402751612404927,10.990275161240493,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000013
