group_id,candidate_id,series,x,y,normalized_uncertainty,threshold,review_role
mfh-0deg-uncertainty-001,line-mfh-0deg-000003,mfh-0deg,0.029043478260869546,121.7779165109568,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-001,line-mfh-0deg-000004,mfh-0deg,0.029217391304347806,122.05983249509515,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-001,line-mfh-0deg-000005,mfh-0deg,0.029391304347826067,122.34174847923352,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-001,line-mfh-0deg-000007,mfh-0deg,0.029739130434782587,122.62366446337187,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-001,line-mfh-0deg-000008,mfh-0deg,0.029913043478260848,122.90558044751022,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-001,line-mfh-0deg-000009,mfh-0deg,0.03008695652173911,123.18749643164857,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-001,line-mfh-0deg-000010,mfh-0deg,0.03026086956521737,123.18749643164857,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-001,line-mfh-0deg-000011,mfh-0deg,0.03043478260869563,123.46941241578693,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-001,line-mfh-0deg-000012,mfh-0deg,0.03060869565217389,123.6103704078561,0.03278689,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-002,line-mfh-0deg-000016,mfh-0deg,0.033913043478260844,127.13432020958552,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-002,line-mfh-0deg-000018,mfh-0deg,0.034260869565217365,127.41623619372388,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-002,line-mfh-0deg-000019,mfh-0deg,0.03443478260869563,127.69815217786223,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-002,line-mfh-0deg-000020,mfh-0deg,0.03460869565217389,127.69815217786223,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-002,line-mfh-0deg-000021,mfh-0deg,0.034782608695652154,127.98006816200058,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-002,line-mfh-0deg-000022,mfh-0deg,0.034956521739130414,127.98006816200058,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-002,line-mfh-0deg-000023,mfh-0deg,0.035130434782608674,128.26198414613893,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-002,line-mfh-0deg-000025,mfh-0deg,0.035478260869565195,128.54390013027728,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-003,line-mfh-0deg-000031,mfh-0deg,0.03913043478260867,131.64497595579917,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-003,line-mfh-0deg-000033,mfh-0deg,0.03947826086956519,131.92689193993755,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-003,line-mfh-0deg-000035,mfh-0deg,0.03982608695652171,132.20880792407587,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-003,line-mfh-0deg-000036,mfh-0deg,0.03999999999999997,132.20880792407587,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-003,line-mfh-0deg-000037,mfh-0deg,0.040173913043478233,132.49072390821425,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-003,line-mfh-0deg-000038,mfh-0deg,0.040347826086956494,132.49072390821425,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-003,line-mfh-0deg-000039,mfh-0deg,0.040521739130434754,132.7726398923526,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-003,line-mfh-0deg-000040,mfh-0deg,0.040695652173913015,132.7726398923526,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-004,line-mfh-0deg-000044,mfh-0deg,0.04417391304347824,135.30988374959776,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-004,line-mfh-0deg-000046,mfh-0deg,0.04452173913043476,135.59179973373614,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-005,line-mfh-0deg-000051,mfh-0deg,0.04539130434782606,136.15563170201284,0.02459016,0.02,agent_first_user_only_if_unresolved
mfh-0deg-uncertainty-005,line-mfh-0deg-000052,mfh-0deg,0.04556521739130432,136.15563170201284,0.02459016,0.02,agent_first_user_only_if_unresolved
