candidate_id,series,severity,anomaly_type,observed,reason,recommended_action
line-uct-test-a11-000001,uct-test-a11,medium,guide_residual_outlier,9.2449,系列 uct-test-a11 的引导残差显著高于稳健阈值 8.61px,batch_review
line-uct-test-a11-000493,uct-test-a11,medium,guide_residual_outlier,9.7076,系列 uct-test-a11 的引导残差显著高于稳健阈值 8.61px,batch_review
line-uct-test-a33-000032,uct-test-a33,medium,guide_residual_outlier,5.5217,系列 uct-test-a33 的引导残差显著高于稳健阈值 5.19px,batch_review
line-uct-test-a33-000033,uct-test-a33,medium,guide_residual_outlier,5.5,系列 uct-test-a33 的引导残差显著高于稳健阈值 5.19px,batch_review
line-uct-test-a33-000034,uct-test-a33,medium,guide_residual_outlier,5.4776,系列 uct-test-a33 的引导残差显著高于稳健阈值 5.19px,batch_review
line-uct-test-a33-000043,uct-test-a33,medium,guide_residual_outlier,5.2291,系列 uct-test-a33 的引导残差显著高于稳健阈值 5.19px,batch_review
