series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_width,pixel_half_height,center_localization_half_width_px,support_pixels,marker_shape,evidence_status,segment_break,status,candidate_id,guide_residual_px
mfh-0deg,0.033739130434782584,127.2752782016547,8.695652173913021e-05,0.14095799206917548,321,95.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000021,4.582523091660022
mfh-0deg,0.033913043478260844,127.2752782016547,8.695652173913021e-05,0.14095799206917548,322,95.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000022,5.145910109929531
mfh-0deg,0.034086956521739105,127.55719418579305,8.695652173913021e-05,0.14095799206917548,323,94.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000023,4.70608566012568
mfh-0deg,0.034260869565217365,127.55719418579305,8.695652173913021e-05,0.14095799206917548,324,94.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000024,5.263055132752683
mfh-0deg,0.03443478260869563,127.8391101699314,8.695652173913715e-05,0.14095799206917548,325,93.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000025,4.8168239183148245
mfh-0deg,0.03460869565217389,127.8391101699314,8.695652173913021e-05,0.14095799206917548,326,93.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000026,5.367397407316375
mfh-0deg,0.034782608695652154,128.12102615406977,8.695652173913021e-05,0.14095799206918969,327,92.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000027,4.914780990261576
mfh-0deg,0.034956521739130414,128.12102615406977,8.695652173913021e-05,0.14095799206918969,328,92.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000028,5.458980057654699
mfh-0deg,0.035130434782608674,128.40294213820812,8.695652173913021e-05,0.14095799206918969,329,91.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000029,5.0
mfh-0deg,0.035304347826086935,128.40294213820812,8.695652173913021e-05,0.14095799206918969,330,91.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000030,5.538732215283588
mfh-0deg,0.035478260869565195,128.68485812234647,8.695652173913021e-05,0.14095799206918969,331,90.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000031,5.075959569947855
mfh-0deg,0.035652173913043456,128.96677410648482,8.695652173913021e-05,0.14095799206916126,332,89.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000032,4.6115246571814765
mfh-0deg,0.035826086956521716,128.68485812234647,8.695652173913021e-05,0.14095799206918969,333,90.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000033,6.145270070173169
mfh-0deg,0.03878260869565215,131.50401796373,8.695652173913021e-05,0.14095799206918969,350,80.0,,0.5,0.5,2,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000034,4.788004731861193
mfh-0deg,0.03895652173913041,131.50401796373,8.695652173913021e-05,0.14095799206918969,351,80.0,,0.5,0.5,2,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000035,5.2620794437648755
mfh-0deg,0.03913043478260867,131.78593394786836,8.695652173913021e-05,0.14095799206918969,352,79.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000036,4.731343752011853
mfh-0deg,0.03930434782608693,131.78593394786836,8.695652173913021e-05,0.14095799206918969,353,79.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000037,5.19564024979077
mfh-0deg,0.03947826086956519,132.0678499320067,8.695652173913021e-05,0.14095799206916126,354,78.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000038,4.6548115302903454
mfh-0deg,0.03965217391304345,132.0678499320067,8.695652173913021e-05,0.14095799206916126,355,78.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000039,5.108700186699295
mfh-0deg,0.03982608695652171,132.34976591614506,8.695652173913021e-05,0.14095799206918969,356,77.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000040,4.557148812206279
mfh-0deg,0.03999999999999997,132.34976591614506,8.695652173913021e-05,0.14095799206918969,357,77.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000041,5.0
mfh-0deg,0.040173913043478233,132.6316819002834,8.695652173913021e-05,0.14095799206918969,358,76.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000042,4.439079749480442
mfh-0deg,0.040347826086956494,132.6316819002834,8.695652173913715e-05,0.14095799206918969,359,76.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000043,4.876205898225493
mfh-0deg,0.040521739130434754,132.91359788442176,8.695652173913715e-05,0.14095799206918969,360,75.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000044,4.311208796690778
mfh-0deg,0.040695652173913015,132.91359788442176,8.695652173913715e-05,0.14095799206918969,361,75.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000045,4.743918795331837
mfh-0deg,0.040869565217391275,132.91359788442176,8.695652173913715e-05,0.14095799206918969,362,75.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000046,5.174166244604294
mfh-0deg,0.041043478260869536,132.91359788442176,8.695652173913715e-05,0.14095799206918969,363,75.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000047,5.60178149496376
mfh-0deg,0.04399999999999998,135.45084174166695,8.695652173913715e-05,0.14095799206918969,380,66.0,,0.5,0.5,2,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000048,3.3041239088532777
mfh-0deg,0.04417391304347824,135.45084174166695,8.695652173913715e-05,0.14095799206918969,381,66.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000049,3.655349506684921
mfh-0deg,0.0443478260869565,135.45084174166695,8.695652173913715e-05,0.14095799206918969,382,66.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000050,4.000719564259825
mfh-0deg,0.04452173913043476,135.45084174166695,8.695652173913715e-05,0.14095799206918969,383,66.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000051,4.3400644320335715
mfh-0deg,0.04469565217391302,135.7327577258053,8.695652173913715e-05,0.14095799206918969,384,65.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000052,3.6732144604617787
mfh-0deg,0.04486956521739128,135.7327577258053,8.695652173913715e-05,0.14095799206918969,385,65.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000053,4.0
mfh-0deg,0.04504347826086954,136.01467370994365,8.695652173913715e-05,0.14095799206918969,386,64.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000054,3.320513443396017
mfh-0deg,0.0452173913043478,136.01467370994365,8.695652173913715e-05,0.14095799206918969,387,64.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000055,3.6351469478230314
mfh-0deg,0.04539130434782606,136.01467370994365,8.695652173913715e-05,0.14095799206918969,388,64.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000056,3.9441805103748067
mfh-0deg,0.04556521739130432,136.296589694082,8.695652173913715e-05,0.14095799206918969,389,63.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000057,3.2478941281450915
mfh-0deg,0.04573913043478258,136.296589694082,8.695652173913715e-05,0.14095799206918969,390,63.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000058,3.546567798227663
mfh-0deg,0.04591304347826084,136.57850567822035,8.695652173913715e-05,0.14095799206918969,391,62.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000059,2.8404815177162774
mfh-0deg,0.0460869565217391,136.57850567822035,8.695652173913715e-05,0.14095799206918969,392,62.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000060,3.1299152837047046
mfh-0deg,0.04626086956521736,136.57850567822035,8.695652173913715e-05,0.14095799206918969,393,62.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000061,3.415149093286672
mfh-0deg,0.04939130434782605,138.55191756718884,8.695652173913715e-05,0.14095799206918969,411,55.0,,0.5,0.5,1,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000062,1.1503618071512633
mfh-0deg,0.04956521739130431,138.55191756718884,8.695652173913715e-05,0.14095799206918969,412,55.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000063,1.4089958928258426
mfh-0deg,0.04973913043478257,138.55191756718884,8.695652173913715e-05,0.14095799206918969,413,55.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000064,1.6690299639692299
mfh-0deg,0.049913043478260845,138.8338335513272,8.695652173913715e-05,0.14095799206918969,414,54.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000065,0.9307440176751882
mfh-0deg,0.050086956521739105,138.8338335513272,8.695652173913715e-05,0.14095799206918969,415,54.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000066,1.1944180510374807
mfh-0deg,0.050260869565217366,138.8338335513272,8.695652173913715e-05,0.14095799206918969,416,54.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000067,1.4603320611498702
test-45deg,0.014434782608695643,41.00898705531853,8.695652173913021e-05,0.14095799206917548,210.0,401.0,3.0,3.5,0.5,39,triangle,visible_marker_support,True,visible_candidate,line-test-45deg-000001,
test-45deg,0.01721739130434781,46.647306738085604,8.695652173913715e-05,0.14095799206918969,226.0,381.0,5.5,7.5,0.5,67,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000002,
test-45deg,0.019826086956521723,51.43987846843761,8.695652173913021e-05,0.14095799206917548,241.0,364.0,7.0,8.5,0.5,97,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000003,
test-45deg,0.02365217391304346,57.64203011948139,8.695652173913021e-05,0.14095799206918969,263.0,342.0,3.0,5.0,0.5,40,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000004,
test-45deg,0.027304347826086935,62.152685865695034,8.695652173913021e-05,0.14095799206918969,284.0,326.0,5.0,6.0,0.5,74,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000005,
test-45deg,0.03060869565217389,66.38142562777034,8.695652173913021e-05,0.14095799206917548,303.0,311.0,3.5,4.5,0.5,51,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000006,
test-45deg,0.03443478260869563,69.48250145329223,8.695652173913715e-05,0.14095799206917548,325.0,300.0,9.0,7.5,0.5,136,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000007,
test-45deg,0.03878260869565215,73.71124121536754,8.695652173913021e-05,0.14095799206917548,350.0,285.0,2.5,5.0,0.5,27,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000008,
test-45deg,0.043130434782608675,75.96656908847436,8.695652173913715e-05,0.14095799206917548,375.0,277.0,8.5,6.0,0.5,120,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000009,
test-45deg,0.047130434782608664,78.2218969615812,8.695652173913715e-05,0.14095799206917548,398.0,269.0,2.0,4.5,0.5,31,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000010,
test-45deg,0.05147826086956519,80.19530885054967,8.695652173913715e-05,0.14095799206917548,423.0,262.0,11.5,7.0,0.5,168,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000011,
test-45deg,0.05599999999999996,82.45063672365649,8.695652173913715e-05,0.14095799206917548,449.0,254.0,2.5,4.0,0.5,27,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000012,
test-45deg,0.060521739130434744,83.29638467607155,8.695652173913715e-05,0.14095799206917548,475.0,251.0,10.0,6.0,0.5,146,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000013,
test-45deg,0.06504347826086954,84.98788058090167,8.695652173915103e-05,0.14095799206917548,501.0,245.0,3.0,6.5,0.5,39,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000014,
test-45deg,0.06921739130434779,84.42404861262497,8.695652173912327e-05,0.14095799206917548,525.0,247.0,11.0,7.0,0.5,159,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000015,
test-45deg,0.07408695652173908,86.82033447780097,8.695652173915103e-05,0.14095799206917548,553.0,238.5,2.0,7.5,0.5,26,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000016,
test-45deg,0.0784347826086956,87.2432084540085,8.695652173912327e-05,0.14095799206918969,578.0,237.0,10.0,8.5,0.5,117,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000017,
test-45deg,0.0833043478260869,87.80704042228521,8.695652173915103e-05,0.14095799206917548,606.0,235.0,2.5,4.5,0.5,19,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000018,
test-45deg,0.0873043478260869,88.08895640642356,8.695652173912327e-05,0.14095799206917548,629.0,234.0,9.5,3.5,0.5,60,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000019,
test-45deg,0.09060869565217386,87.52512443814686,8.695652173912327e-05,0.14095799206917548,648.0,236.0,1.0,3.5,0.5,11,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000020,
test-45deg,0.09321739130434778,85.83362853331674,8.695652173915103e-05,0.14095799206918969,663.0,242.0,5.5,8.5,0.5,156,triangle,visible_marker_support,False,visible_candidate,line-test-45deg-000021,
mfh-45deg,0.002434782608695646,8.588648879407884,8.695652173913021e-05,0.14095799206918969,141,516.0,,0.5,0.5,1,,visible_pixel_support,True,visible_candidate,line-mfh-45deg-000001,9.579317918415313
mfh-45deg,0.01878260869565216,50.594130516022545,8.695652173913021e-05,0.14095799206917548,235,367.0,,0.5,0.5,2,,visible_pixel_support,True,visible_candidate,line-mfh-45deg-000002,8.174109068580208
mfh-45deg,0.01895652173913042,50.876046500160896,8.695652173913021e-05,0.14095799206917548,236,366.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000003,7.800875913787252
mfh-45deg,0.01913043478260868,51.15796248429925,8.695652173913021e-05,0.14095799206918969,237,365.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000004,7.445343400278375
mfh-45deg,0.01930434782608694,51.43987846843761,8.695652173913021e-05,0.14095799206917548,238,364.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000005,7.109420372282273
mfh-45deg,0.019478260869565202,51.72179445257596,8.695652173913021e-05,0.14095799206917548,239,363.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000006,6.795015674027695
mfh-45deg,0.019652173913043462,52.003710436714314,8.695652173913021e-05,0.14095799206917548,240,362.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000007,6.504038149743337
