group_id,candidate_id,series,x,y,normalized_uncertainty,threshold,review_role
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000075,sound-pressure-level-directivity,74.0,52.455394710312746,0.02045838,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000076,sound-pressure-level-directivity,75.0,52.21954703765074,0.02033832,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000077,sound-pressure-level-directivity,76.0,52.026745113186884,0.02444379,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000078,sound-pressure-level-directivity,77.0,51.913997676446996,0.02425161,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000080,sound-pressure-level-directivity,79.0,51.47348418499546,0.02827775,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000081,sound-pressure-level-directivity,80.0,51.10491314650473,0.0367592,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000082,sound-pressure-level-directivity,81.0,50.740390768614624,0.04528891,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000083,sound-pressure-level-directivity,82.0,50.22404295926973,0.04518665,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000084,sound-pressure-level-directivity,83.0,49.71160378471359,0.0450547,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000085,sound-pressure-level-directivity,84.0,49.34378684833085,0.04491005,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000086,sound-pressure-level-directivity,85.0,48.857372869532114,0.04003092,0.02,agent_first_user_only_if_unresolved
sound-pressure-level-directivity-uncertainty-003,polar_line-sound-pressure-level-directivity-000087,sound-pressure-level-directivity,86.0,48.51715879466036,0.03991328,0.02,agent_first_user_only_if_unresolved
