series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,support_pixels,guide_residual_px,evidence_status,segment_break,status,candidate_id,support_x_min,support_x_max,group_assignment_cost,competing_series,line_semantics
test-0deg,0.00017391304347825695,4.641825101470914,8.695652173913021e-05,0.14095799206918969,128,530.0,0.5,1,10.0,visible_pixel_support,True,visible_candidate,line-test-0deg-000001,,,,,
test-0deg,0.00034782608695651737,4.077993133194212,8.695652173913021e-05,0.28191598413835095,129,532.0,1.0,3,5.2000408376726455,visible_pixel_support,False,visible_candidate,line-test-0deg-000002,,,,,
test-0deg,0.0005217391304347778,4.359909117332563,8.695652173913021e-05,0.14095799206918969,130,531.0,0.5,2,3.4413296118607377,visible_pixel_support,False,visible_candidate,line-test-0deg-000003,,,,,
test-0deg,0.0006956521739130382,3.7960771490558614,8.695652173913021e-05,0.14095799206918969,131,533.0,0.5,1,1.2849725209747476,visible_pixel_support,False,visible_candidate,line-test-0deg-000004,,,,,
test-0deg,0.0008695652173912986,7.460984942854452,8.695652173913021e-05,0.14095799206918969,132,520.0,0.5,1,9.012295595627279,visible_pixel_support,False,visible_candidate,line-test-0deg-000005,,,,,
test-0deg,0.0010434782608695625,7.460984942854452,8.695652173913368e-05,0.42287397620754064,133,520.0,1.5,3,6.324295118127452,visible_pixel_support,False,visible_candidate,line-test-0deg-000006,,,,,
test-0deg,0.001217391304347823,8.024816911131154,8.695652173913021e-05,0.5638319682767303,134,518.0,2.0,5,5.642187202987202,visible_pixel_support,False,visible_candidate,line-test-0deg-000007,,,,,
test-0deg,0.0013913043478260834,8.306732895269533,8.695652173913021e-05,0.7047899603458916,135,517.0,2.5,6,3.9571330066671635,visible_pixel_support,False,visible_candidate,line-test-0deg-000008,,,,,
test-0deg,0.0015652173913043438,8.306732895269533,8.695652173913021e-05,1.2686219286225935,136,517.0,4.5,4,1.260293685628426,visible_pixel_support,False,visible_candidate,line-test-0deg-000009,,,,,
test-0deg,0.0017391304347826042,8.306732895269533,8.695652173913021e-05,1.5505379127609444,137,517.0,5.5,3,1.457169603668035,visible_pixel_support,False,visible_candidate,line-test-0deg-000010,,,,,
test-0deg,0.0019130434782608646,8.588648879407884,8.695652173913021e-05,0.14095799206918969,138,516.0,0.5,1,3.2040957047612437,visible_pixel_support,False,visible_candidate,line-test-0deg-000011,,,,,
test-0deg,0.0022608695652173855,9.716312815961288,8.695652173913021e-05,2.1143698810376463,140,512.0,7.5,4,4.821691716493831,visible_pixel_support,True,visible_candidate,line-test-0deg-000012,,,,,
test-0deg,0.002434782608695646,10.843976752514692,8.695652173913021e-05,1.8324538968992954,141,508.0,6.5,6,3.7100393142114285,visible_pixel_support,False,visible_candidate,line-test-0deg-000013,,,,,
test-0deg,0.0026086956521739063,11.971640689068124,8.695652173913021e-05,1.6914959048301341,142,504.0,6.0,8,2.6632050978817574,visible_pixel_support,False,visible_candidate,line-test-0deg-000014,,,,,
test-0deg,0.00278260869565217,13.94505257803658,8.695652173913368e-05,1.973411888968485,143,497.0,7.0,13,1.3099720889560444,visible_pixel_support,False,visible_candidate,line-test-0deg-000015,,,,,
test-0deg,0.0029565217391304306,14.508884546313311,8.695652173913021e-05,2.1143698810376748,144,495.0,7.5,16,0.20065340276300958,visible_pixel_support,False,visible_candidate,line-test-0deg-000016,,,,,
test-0deg,0.003130434782608691,15.072716514590013,8.695652173913021e-05,1.973411888968485,145,493.0,7.0,13,1.0,visible_pixel_support,False,visible_candidate,line-test-0deg-000017,,,,,
test-0deg,0.0033043478260869515,16.200380451143417,8.695652173913021e-05,1.6914959048301341,146,489.0,6.0,13,0.3269234237816363,visible_pixel_support,False,visible_candidate,line-test-0deg-000018,,,,,
test-0deg,0.003478260869565212,16.76421241942012,8.695652173913021e-05,1.2686219286225935,147,487.0,4.5,7,1.7966065534099585,visible_pixel_support,False,visible_candidate,line-test-0deg-000019,,,,,
test-0deg,0.0041739130434782536,23.5301960387406,8.695652173913021e-05,0.14095799206918969,151,463.0,0.5,2,7.273655587456517,visible_pixel_support,True,visible_candidate,line-test-0deg-000020,,,,,
test-0deg,0.004347826086956514,23.81211202287895,8.695652173913021e-05,0.28191598413837937,152,462.0,1.0,3,4.372617716979619,visible_pixel_support,False,visible_candidate,line-test-0deg-000021,,,,,
test-0deg,0.004521739130434778,23.81211202287895,8.695652173913368e-05,0.28191598413837937,153,462.0,1.0,3,0.4417976560098964,visible_pixel_support,False,visible_candidate,line-test-0deg-000022,,,,,
test-0deg,0.005739130434782601,30.01426367392274,8.695652173913021e-05,0.14095799206917548,160,440.0,0.5,2,4.531165896980269,visible_pixel_support,True,visible_candidate,line-test-0deg-000023,,,,,
test-0deg,0.005913043478260861,30.860011626337794,8.695652173913021e-05,0.28191598413836516,161,437.0,1.0,3,5.30015996908736,visible_pixel_support,False,visible_candidate,line-test-0deg-000024,,,,,
test-0deg,0.0062608695652173856,35.37066737255145,8.695652173913021e-05,0.5638319682767161,163,421.0,2.0,5,3.177434835188535,visible_pixel_support,True,visible_candidate,line-test-0deg-000025,,,,,
